db_id,TQL,SQL,fileName,filePath,result
WhatCDHipHop,Find me top 5 most popular releases after 2000?,SELECT groupName FROM torrents WHERE groupYear > 2000 ORDER BY totalSnatched DESC LIMIT 5,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which albums have been downloaded more than 100 times?,"SELECT DISTINCT groupName FROM torrents WHERE totalSnatched > 100 AND releaseType = ""album""",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Name the most popular release on houston.,"SELECT T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T1.tag = ""houston"" ORDER BY totalSnatched DESC LIMIT 1",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Name the most popular and least popular releases of lasean camry?,"SELECT groupName FROM torrents WHERE artist = ""lasean camry"" AND totalSnatched = (SELECT max(totalSnatched) FROM torrents WHERE artist = ""lasean camry"") UNION SELECT groupName FROM torrents WHERE artist = ""lasean camry"" AND totalSnatched = (SELECT min(totalSnatched) FROM torrents WHERE artist = ""lasean camry"")",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Find me top 10 albums ranked by their popularity.,"SELECT groupName FROM torrents WHERE releaseType = ""album"" ORDER BY totalSnatched DESC LIMIT 10",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Find me the most popular topics since 2010.,SELECT T1.tag FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T2.groupYear >= 2010 GROUP BY T1.tag ORDER BY T2.totalSnatched DESC LIMIT 10,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which year had the minimum number of releases?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which release is being downloaded the most?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Who or which group is most popular in 2015?,SELECT artist FROM torrents WHERE groupYear = 2015 GROUP BY artist ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which tag is used for which release title?,"SELECT T1.tag, T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which year has the most released song?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which artist/group is most productive?,SELECT artist FROM torrents GROUP BY artist ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which artist/group has the highest average download of songs?,SELECT artist FROM torrents GROUP BY artist ORDER BY avg(totalSnatched) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which year has the most CDs released?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which CD has been downloaded the most times?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which kind of release type is the most popular?,SELECT releaseType FROM torrents GROUP BY releaseType ORDER BY sum(totalSnatched) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Whose CDs sells best?,SELECT artist FROM torrents GROUP BY artist ORDER BY sum(totalSnatched) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,What are the downloaded numbers and their release types?,"SELECT sum(totalSnatched), releaseType FROM torrents GROUP BY releaseType",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,What are the downloaded numbers of 2000s and before 2000?,SELECT sum(totalSnatched) FROM torrents WHERE groupYear BETWEEN 2000 AND 2010 UNION SELECT sum(totalSnatched) FROM torrents WHERE groupYear < 2000,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,How many same release titles are there in the table?,SELECT count(*) FROM ( SELECT groupName FROM torrents GROUP BY groupName HAVING count(*) > 1 ),WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,Which artist release the most CDs?,SELECT artist FROM torrents GROUP BY artist ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,How many downloads of ep and album respectively?,"SELECT sum(totalSnatched) FROM torrents WHERE releaseType = ""ep""  UNION SELECT sum(totalSnatched) FROM torrents WHERE releaseType = ""album""",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,What are the artist/groups that released only one CD?,SELECT artist FROM torrents GROUP BY artist HAVING count(*) = 1,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,What are the actors who have had releases after 2010?,SELECT artist FROM torrents WHERE groupYear > 2010 GROUP BY artist,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,What are the top 100 torrent releases?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 100,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are name of top 10 artists or groups?,SELECT artist FROM torrents GROUP BY artist ORDER BY sum(totalSnatched) DESC LIMIT 10,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the top 10 torrent release types?,SELECT releaseType FROM torrents GROUP BY releaseType ORDER BY sum(totalSnatched) DESC LIMIT 10,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the top 20 pop albums?,"SELECT T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T1.tag = ""pop"" and T2.releaseType = ""album"" ORDER BY T2.totalSnatched DESC LIMIT 20",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the top 20 instrumental albums since 2000?,"SELECT T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T1.tag = ""instrumental"" and T2.releaseType = ""album"" and groupYear >= 2000 ORDER BY T2.totalSnatched DESC LIMIT 20",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What type of musical album is the most popular?,"SELECT T1.tag FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T2.releaseType = ""album"" GROUP BY T1.tag ORDER BY sum(T2.totalSnatched) DESC LIMIT 1",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the top 100 single musics?,"SELECT groupName FROM torrents WHERE releaseType = ""single"" ORDER BY totalSnatched DESC LIMIT 100",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What is the torrent download statistics for each release year?,"SELECT sum(totalSnatched), groupYear FROM torrents GROUP BY groupYear",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,how many entries are of each type?,"SELECT count(*), releaseType FROM torrents GROUP BY releaseType",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,how many unique entries are by the same Artist/group?,"SELECT count(*), artist FROM torrents GROUP BY artist",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,which entry have been downloaded the most?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,which entry have been downloaded the least?,SELECT groupName FROM torrents ORDER BY totalSnatched LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,what are titles for each unique entry?,SELECT DISTINCT groupName FROM torrents,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,what year was each specific entry released?,"SELECT groupName, groupYear FROM torrents",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,what are the entries by each specific artist/group?,"SELECT groupName, artist FROM torrents",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,which tags exist?,SELECT DISTINCT tag FROM tags,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,what release types are captured in this data set?,SELECT DISTINCT releaseType FROM torrents,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Find me top 5 most popular releases after 2000?,SELECT groupName FROM torrents WHERE groupYear > 2000 ORDER BY totalSnatched DESC LIMIT 5,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which albums have been downloaded more than 100 times?,"SELECT DISTINCT groupName FROM torrents WHERE totalSnatched > 100 AND releaseType = ""album""",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Name the most popular release on houston.,"SELECT T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T1.tag = ""houston"" ORDER BY totalSnatched DESC LIMIT 1",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Name the most popular and least popular releases of lasean camry?,"SELECT groupName FROM torrents WHERE artist = ""lasean camry"" AND totalSnatched = (SELECT max(totalSnatched) FROM torrents WHERE artist = ""lasean camry"") UNION SELECT groupName FROM torrents WHERE artist = ""lasean camry"" AND totalSnatched = (SELECT min(totalSnatched) FROM torrents WHERE artist = ""lasean camry"")",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Find me top 10 albums ranked by their popularity.,"SELECT groupName FROM torrents WHERE releaseType = ""album"" ORDER BY totalSnatched DESC LIMIT 10",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Find me the most popular topics since 2010.,SELECT T1.tag FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T2.groupYear >= 2010 GROUP BY T1.tag ORDER BY T2.totalSnatched DESC LIMIT 10,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which year had the minimum number of releases?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which release is being downloaded the most?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Who or which group is most popular in 2015?,SELECT artist FROM torrents WHERE groupYear = 2015 GROUP BY artist ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which tag is used for which release title?,"SELECT T1.tag, T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which year has the most released song?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which artist/group is most productive?,SELECT artist FROM torrents GROUP BY artist ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which artist/group has the highest average download of songs?,SELECT artist FROM torrents GROUP BY artist ORDER BY avg(totalSnatched) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which year has the most CDs released?,SELECT groupYear FROM torrents GROUP BY groupYear ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which CD has been downloaded the most times?,SELECT groupName FROM torrents ORDER BY totalSnatched DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which kind of release type is the most popular?,SELECT releaseType FROM torrents GROUP BY releaseType ORDER BY sum(totalSnatched) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Whose CDs sells best?,SELECT artist FROM torrents GROUP BY artist ORDER BY sum(totalSnatched) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the downloaded numbers and their release types?,"SELECT sum(totalSnatched), releaseType FROM torrents GROUP BY releaseType",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the downloaded numbers of 2000s and before 2000?,SELECT sum(totalSnatched) FROM torrents WHERE groupYear BETWEEN 2000 AND 2010 UNION SELECT sum(totalSnatched) FROM torrents WHERE groupYear < 2000,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,How many same release titles are there in the table?,SELECT count(*) FROM ( SELECT groupName FROM torrents GROUP BY groupName HAVING count(*) > 1 ),WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,Which artist release the most CDs?,SELECT artist FROM torrents GROUP BY artist ORDER BY count(groupName) DESC LIMIT 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,How many downloads of ep and album respectively?,"SELECT sum(totalSnatched) FROM torrents WHERE releaseType = ""ep""  UNION SELECT sum(totalSnatched) FROM torrents WHERE releaseType = ""album""",WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the artist/groups that released only one CD?,SELECT artist FROM torrents GROUP BY artist HAVING count(*) = 1,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
WhatCDHipHop,What are the actors who have had releases after 2010?,SELECT artist FROM torrents WHERE groupYear > 2010 GROUP BY artist,WhatCDHipHop.json.sqlite,WhatCDHipHop.json.sqlite,Not available
GreaterManchesterCrime,Which streets in Manchester have the highest rates of crime?,"SELECT Location FROM GreaterManchesterCrime WHERE Location like ""%Street%"" GROUP BY Location ORDER BY count(*) DESC LIMIT 1",GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,When was the last instance of a violent or sexual offense in Manchester?,"SELECT CrimeID FROM GreaterManchesterCrime WHERE Type = ""Violence and sexual offences"" ORDER BY CrimeTS DESC LIMIT 1",GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,Where was the last instance of a violent or sexual offense in Manchester?,"SELECT Location FROM GreaterManchesterCrime WHERE Type = ""Violence and sexual offences"" ORDER BY CrimeTS DESC LIMIT 1",GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,Which neighborhood has the highest crime rate?,SELECT LSOA FROM GreaterManchesterCrime GROUP BY LSOA ORDER BY count(*) DESC LIMIT 1,GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,What is the crime rate for Eden Street area?,"SELECT count(*) FROM GreaterManchesterCrime WHERE Location like ""%Eden Street%""",GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,What is the most common type of crime?,SELECT Type FROM GreaterManchesterCrime GROUP BY Type ORDER BY count(*) DESC LIMIT 1,GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,Which neighborhood/area has the highest burglary rate?,"SELECT Location FROM GreaterManchesterCrime WHERE Type = ""Burglary"" GROUP BY Location ORDER BY count(*) DESC LIMIT 1",GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,Which area do most of the crimes happen?,SELECT Location FROM GreaterManchesterCrime GROUP BY Location ORDER BY count(*) DESC LIMIT 1,GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
GreaterManchesterCrime,Which Lower Layer Output Area do most of the crimes happen?,SELECT LSOA FROM GreaterManchesterCrime GROUP BY LSOA ORDER BY count(*) DESC LIMIT 1,GreaterManchesterCrime_fewshot.json.sqlite,GreaterManchesterCrime_fewshot.json.sqlite,Not available
USWildFires,Which year has the most wildfires?,SELECT FIRE_YEAR FROM Fires GROUP BY FIRE_YEAR ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,Which time of day has the most wildfires?,SELECT DISCOVERY_TIME FROM Fires GROUP BY DISCOVERY_TIME ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,What are the most common causes of the wildfires?,SELECT STAT_CAUSE_DESCR FROM Fires GROUP BY STAT_CAUSE_DESCR ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,How long does it take to control wildfires on average?,SELECT avg(CONT_DATE - DISCOVERY_DATE) FROM Fires,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,Which state has the most wildfires?,SELECT State FROM Fires GROUP BY State ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,Which state has the largest wildfire?,SELECT State FROM Fires ORDER BY FIRE_SIZE DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,What enrity is reponsible for managing the land at the point of origin of the most wildfires?,SELECT OWNER_DESCR FROM Fires GROUP BY OWNER_DESCR ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,What was the most common cause of fire between 2000 and 2005?,SELECT STAT_CAUSE_DESCR FROM Fires WHERE FIRE_YEAR BETWEEN 2000 AND 2005 GROUP BY STAT_CAUSE_DESCR ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,How many fires were more than 100 acres in 2006?,SELECT count(*) FROM Fires WHERE FIRE_YEAR = 2006 AND FIRE_SIZE > 100,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,Which states had the largest number of fires in 2001?,SELECT State FROM Fires WHERE FIRE_YEAR = 2001 GROUP BY State ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,How many acres burned in fires in California each year between 2000 and 2005?,"SELECT sum(FIRE_SIZE), FIRE_YEAR FROM Fires WHERE State = ""CA"" AND FIRE_YEAR BETWEEN 2000 AND 2005 GROUP BY FIRE_YEAR",USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
USWildFires,Which year had the largest number of fires?,SELECT FIRE_YEAR FROM Fires GROUP BY FIRE_YEAR ORDER BY count(*) DESC LIMIT 1,USWildFires_fewshot.json.sqlite,USWildFires_fewshot.json.sqlite,Not available
Pesticide,Provide the list of products with pesticide residues detected.,"SELECT DISTINCT commod FROM resultsdata15 WHERE concen != """"",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,What is the most effective extraction method in terms of pesticide residues detection?,SELECT extract FROM resultsdata15 GROUP BY extract ORDER BY count(*) DESC LIMIT 1,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,What is the most effective determinative method in terms of pesticide residues detection?,SELECT determin FROM resultsdata15 GROUP BY determin ORDER BY count(*) DESC LIMIT 1,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,What are the top 5 analyzing labs where pesticide residues detection was conducted?,SELECT lab FROM resultsdata15 GROUP BY lab ORDER BY count(*) DESC LIMIT 5,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,Wha commodity type of apple has the highest pesticide residues to consume?,"SELECT commtype FROM resultsdata15 WHERE commod = ""AP"" GROUP BY commtype ORDER BY sum(concen) DESC LIMIT 1",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,Rank the country of product origins in terms of pesticide residues detection.,SELECT T1.country FROM sampledata15 as T1 JOIN resultsdata15 as T2 ON T1.sample_pk = T2.sample_pk GROUP BY T1.country ORDER BY T2.concen,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,What type of collection facility results in the most risky consumption in terms of pesticide residues detection?,SELECT T1.disttype FROM sampledata15 as T1 JOIN resultsdata15 as T2 ON T1.sample_pk = T2.sample_pk GROUP BY T1.disttype ORDER BY sum(T2.concen) DESC LIMIT 1,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,What are the country of product origins where pesticide residues were not detected?,"SELECT T1.country FROM sampledata15 as T1 JOIN resultsdata15 as T2 ON T1.sample_pk = T2.sample_pk WHERE T2.concen = ""0"" GROUP BY T1.country",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,how many entries are of each specific food?,"SELECT commod, count(*) FROM sampledata15 GROUP BY commod",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,which pesticides are most used?,SELECT pestcode FROM resultsdata15 GROUP BY pestcode ORDER BY count(*) DESC LIMIT 1,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,which pesticides have been used the least?,SELECT pestcode FROM resultsdata15 GROUP BY pestcode ORDER BY count(*) LIMIT 1,Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,how was a specific sample tested?,"SELECT sample_pk, testclass FROM resultsdata15",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,in which state was a specific sample grown?,"SELECT sample_pk, growst FROM sampledata15",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,in which state was a specific sample packed?,"SELECT sample_pk, packst FROM sampledata15",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,in which state was a specific sample distributed?,"SELECT sample_pk, distst FROM sampledata15",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,show all imported samples?,"SELECT sample_pk FROM sampledata15 WHERE origin = ""2""",Pesticide_fewshot.json.sqlite,Pesticide_fewshot.json.sqlite,Not available
Pesticide,which foods are captured in the data set?,SELECT DISTINCT commod FROM sampledata15,Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
Pesticide,how many samples have unknown countries of origin?,"SELECT count(*) FROM sampledata15 WHERE origin = ""3""",Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
Pesticide,Which are the top 10 commodities that have the highest residue during 2015?,SELECT T2.commod FROM resultsdata15 as T2 JOIN sampledata15 as T1 ON T1.sample_pk = T2.sample_pk WHERE T1.year = 15 GROUP BY T2.commod ORDER BY sum(T2.concen) DESC LIMIT 10,Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
Pesticide,Name some imported commodities that are not found in the US.,SELECT commod FROM sampledata15 WHERE origin = 2 AND commod not in (SELECT commod FROM sampledata15 WHERE origin = 1),Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
Pesticide,Tell me the average pesticide residue for each state in the US where food is grown.,"SELECT T1.growst, avg(T2.concen) FROM sampledata15 as T1 JOIN resultsdata15 as T2 ON T1.sample_pk = T2.sample_pk GROUP BY T1.growst",Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
Pesticide,Which varieties of apple typically have higher pesticide levels?,"SELECT T1.variety FROM resultsdata15 as T2 JOIN sampledata15 as T1 ON T1.sample_pk = T2.sample_pk WHERE T2.commod = ""AP"" GROUP BY T1.variety ORDER BY sum(T2.concen) DESC LIMIT 1",Pesticide_test.json.sqlite,Pesticide_test.json.sqlite,Not available
